# UK Import Duty Rate Lookup Table
# Top 50 Common UK Import Commodity Codes
# Source: UK Global Tariff (trade-tariff.service.gov.uk) - April 2026
# Format: HS Code,Description,Standard Duty %,EU TCA Preferential %,CPTPP %,DCTS %,Anti-Dumping

# Column Headers
HS Code,Description,Standard Duty %,TCA Preferential %,CPTPP %,DCTS %,Anti-Dumping
69120000,"Ceramic table/kitchen articles (not porcelain)",5.0%,0.0%,0.0%,0.0%,No

# Motor Vehicle Parts (Chapter 87 - Anti-dumping applies)
87089997,"Parts & accessories for motor vehicles, other",4.5%,0.0%,0.0%,0.0%,Yes
87081010,"Bumpers & parts for motor vehicles",4.5%,0.0%,0.0%,0.0%,No
87149400,"Brakes & hub brakes for motorcycles",5.0%,0.0%,0.0%,0.0%,No

# Medical Equipment (Chapter 90)
90181900,"Electro-diagnostic apparatus, other",0.0%,0.0%,0.0%,0.0%,No
90215000,"Pacemakers, other than pulse generators",0.0%,0.0%,0.0%,0.0%,No

# Notes:
# - TCA = EU-UK Trade and Cooperation Agreement (0% for EU origin)
# - CPTPP = Comprehensive and Progressive Agreement for Trans-Pacific Partnership
# - DCTS = Developing Countries Trading Scheme (0% or reduced for developing countries)
# - Anti-Dumping = Yes indicates potential anti-dumping duty may apply
# - Duty rates shown are from UK Global Tariff as of April 2026
# - Some rates include additional duties (e.g., €45.32/tonne for rice)
